Project Title,Application ID,Project Start Date,Project End Date,Funding Mechanism,Fiscal Year,Total Cost,Total Cost (Sub Projects),Funding IC(s),Direct Cost IC,InDirect Cost IC,Total Cost IC
THE NATURAL HISTORY OF HEREDITARY BREAST CANCER,6377083,9/15/2000 0:00,8/31/2003 0:00,Non-SBIR/STTR,2001,225000, ,NCI, , ,225000
"AGE, CELL CYCLE MARKERS AND BREAST CANCER OUTCOMES",6377089,9/20/1999 0:00,8/31/2004 0:00,Other Research-Related,2001,128799, ,NCI, , ,128799
A ROLE OF RAD51B IN DNA REPAIR AND BREAST CARCINOGENESIS,6377090,6/1/2000 0:00,5/31/2004 0:00,Non-SBIR/STTR,2001,293692, ,NCI, , ,293692
THE ROLE OF A NOVEL GAP IN EPITHELIAL ONCOGENESIS,6377101,9/8/1999 0:00,6/30/2004 0:00,Non-SBIR/STTR,2001,245699, ,NCI, , ,245699
METABOLIC GENOTYPES & ONCOGENIC DAMAGE IN BREAST CANCER,6377136,7/1/2000 0:00,6/30/2005 0:00,Non-SBIR/STTR,2001,325125, ,NCI, , ,325125
LONG TERM OUTCOMES FOR WOMEN WITH BREAST CA IN SITU,6377148,7/1/2000 0:00,6/30/2005 0:00,Non-SBIR/STTR,2001,576560, ,NCI, , ,576560
MOLECULAR CHARACTERIZATION OF ACF (ABERRANT CRYPT FOCI),6377156,8/1/1999 0:00,5/31/2003 0:00,Non-SBIR/STTR,2001,234228, ,NCI, , ,234228
ALPHA6/BETA4-INTEGRIN MEDIATED APOPTOSIS RESISTANCE,6377185,7/1/2000 0:00,6/30/2003 0:00,Non-SBIR/STTR,2001,209643, ,NCI, , ,209643
PRECANCEROUS EVENTS IN CLINICALLY NORMAL SKIN,6377187,4/1/1999 0:00,3/31/2003 0:00,Non-SBIR/STTR,2001,247613, ,NCI, , ,247613
RESTORATION OF APOPTOSIS IN CANCER,6377198,7/23/1999 0:00,4/30/2004 0:00,Non-SBIR/STTR,2001,1070099, ,NCI, , ,1070099
P21 INDUCTION BY BRCA2,6377215,8/1/1998 0:00,7/31/2003 0:00,Non-SBIR/STTR,2001,100170, ,NCI, , ,100170
CHARACTERIZATION OF SRC AS AN E6AP SUBSTRATE,6377251,7/1/2001 0:00, ,"Training, Individual",2001,30459, ,NCI, , ,30459
ANALYSIS OF P73 FUNCTION AND REGULATION BY E2F 1,6377273,8/1/2000 0:00,4/1/2002 0:00,Other Research-Related,2001,102546, ,NCI, , ,102546
"TELOMERE DYSFUNCTION, GENOMIC INSTABILITY AND CANCER",6377296,4/20/2000 0:00,11/30/2005 0:00,Other Research-Related,2002,132857, ,NCI, , ,132857
CDX2 TUMOR SUPPRESSOR PATHWAY DEFECTS IN COLON CANCER,6377307,8/15/1999 0:00,5/31/2004 0:00,Non-SBIR/STTR,2001,266718, ,NCI, , ,266718
MOLECULAR EPIDEMIOLOGY OF NON-MELANOMA SKIN CANCER,6377340,9/30/1999 0:00,7/31/2003 0:00,Non-SBIR/STTR,2001,374889, ,NCI, , ,374889
ROLE OF BRCA1 IN NORMAL CELL GROWTH AND TUMORGENESIS,6377351,9/1/1999 0:00,6/30/2004 0:00,Non-SBIR/STTR,2001,203414, ,NCI, , ,203414
FAS/APO-1 MEDIATED APOPTOSIS,6377367,8/1/1999 0:00,5/31/2003 0:00,Non-SBIR/STTR,2001,201504, ,NCI, , ,201504
BYSTANDER EFFECTS OF LOW DOSE ALPHA PARTICLES,6377383,9/1/1999 0:00,8/31/2003 0:00,Non-SBIR/STTR,2001,315640, ,NCI, , ,315640
DETERMINANTS OF CLINICAL OUTCOME/TOXICITY IN HISPANICS,6377394,9/3/1999 0:00,6/30/2003 0:00,Non-SBIR/STTR,2001,338699, ,NCI, , ,338699
ENHANCING ACTIVITY OF ALKYLATING AGENTS IN NEUROBLASTOMA,6377430,9/1/1999 0:00,8/31/2003 0:00,Non-SBIR/STTR,2001,234734, ,NCI, , ,234734
E2 MODULATION OF TUMORIGENESIS IN ERBB2 TRANSGENIC MICE,6377436,8/15/1999 0:00,5/31/2004 0:00,Non-SBIR/STTR,2001,214636, ,NCI, , ,214636
GEMZAR--MECHANISMS OF CYTOTOXICITY & RADIOSENSITIZATION,6377479,7/8/1999 0:00,4/30/2003 0:00,Non-SBIR/STTR,2001,207241, ,NCI, , ,207241
TREATMENT RESPONSE MARKERS IN ADVANCED LARYNGEAL CANCER,6377481,9/1/1999 0:00,6/30/2004 0:00,Non-SBIR/STTR,2001,229356, ,NCI, , ,229356
THE ROLE OF INTEGRIN A5B1 IN ANGIOGENESIS & DISEASE,6377493,9/1/1999 0:00,6/30/2003 0:00,Non-SBIR/STTR,2001,287734, ,NCI, , ,287734
CELL CYCLE CHECKPOINT REGULATION AND CANCER,6377524,8/31/2001 0:00, ,"Training, Individual",2002,4900, ,NCI, , ,4900
VIRAL ONCOPROTEIN ACTIVATION IN AIDS-RELATED TUMORS,6377531,9/17/1999 0:00,6/30/2002 0:00,Non-SBIR/STTR,2001,599515, ,NCI, , ,599515
" 8P22 ALTERATIONS, IN PROSTATE, BREAST AND ESOPHAGEAL CA",6377543,7/5/2000 0:00,6/30/2005 0:00,Non-SBIR/STTR,2001,405649, ,NCI, , ,405649
PI 3K PATHWAY IN BCR/ABL INDUCED LEUKEMIAS,6377544,7/1/2000 0:00,6/30/2004 0:00,Non-SBIR/STTR,2001,283950, ,NCI, , ,283950
TRIGGERING OF ABERRANT CPG ISLAND METHYLATION,6377606,7/1/2000 0:00,6/30/2003 0:00,Non-SBIR/STTR,2001,232313, ,NCI, , ,232313
INNOVATIVE TUMOR TARGETED THERAPIES FOR LUNG CANCER,6377655,9/1/2000 0:00,8/31/2005 0:00,Other Research-Related,2002,125620, ,NCI, , ,125620
MOUSE CANCER MODELS BY REGULATED INACTIVATION OF TUMOR S,6377673,9/30/1999 0:00,3/31/2002 0:00,Non-SBIR/STTR,2001,727970, ,NCI, , ,727970
MOUSE MODELS OF HUMAN BREAST CANCER,6377675,9/30/1999 0:00,3/31/2004 0:00,Non-SBIR/STTR,2001,470311, ,NCI, , ,470311
 REPRESSION BY C SKI AND MELANOMA PROGRESION,6377679,7/1/2000 0:00,6/30/2005 0:00,Non-SBIR/STTR,2001,219100, ,NCI, , ,219100
"THE APL PARADIGM FOR ABERRANT TRANSCRIPTION, CANCER AND",6377682,9/30/1999 0:00,3/31/2004 0:00,Non-SBIR/STTR,2001,506721, ,NCI, , ,506721
A MOUSE MODEL FOR PROSTATE CANCER,6377683,9/30/1999 0:00,3/31/2004 0:00,Non-SBIR/STTR,2001,484325, ,NCI, , ,484325
CREATION AND CHARACTERIZATION OF MOUSE MODELS OF HUMAN L,6377686,9/30/1999 0:00,3/31/2004 0:00,Non-SBIR/STTR,2001,798688, ,NCI, , ,798688
PRECLINICAL MOUSE:  CENTRAL NERVOUS SYSTEM CANCERS,6377688,9/30/1999 0:00,3/31/2004 0:00,Non-SBIR/STTR,2001,906052, ,NCI, , ,906052
IMMUNOLOGIC SCREENING FOR EARLY STAGE COLORECTAL CANCER,6377695,8/11/2000 0:00,7/31/2003 0:00,Non-SBIR/STTR,2001,141750, ,NCI, , ,141750
"OXIDATIVE STRESS, APOPTOSIS AND DRUG RESISTANCE",6377709,7/1/2000 0:00,6/30/2004 0:00,Non-SBIR/STTR,2001,201150, ,NCI, , ,201150
CPG METHYLATION AND MUTATION,6377710,7/1/2000 0:00,6/30/2004 0:00,Non-SBIR/STTR,2001,275625, ,NCI, , ,275625
ROLE OF AMINO TERMINAL MODIFICATION IN P53 FUNCTION,6377734,4/1/2001 0:00, ,"Training, Individual",2001,41996, ,NCI, , ,41996
EARLY CANCER DETECTION AND SUSCEPTIBILITY BIOMAKERS,6377761,9/30/1999 0:00,8/31/2004 0:00,Other,2001,789750, ,NCI, , ,789750
P53 AND UV REGULATION OF P53 BINDING PROTEIN BBP/53BP2,6377807,6/7/2000 0:00,8/31/2001 0:00,Other Research-Related,2001,10176, ,NCI, , ,10176
PROSPECTIVE STUDY OF PANCREATIC CANCER PATHOGENESIS,6377858,9/1/2000 0:00,8/31/2005 0:00,Non-SBIR/STTR,2001,500866, ,NCI, , ,500866
MOLECULAR EPIDEMIOLOGY OF RENAL CELL CANCER,6377881,5/1/2000 0:00,4/30/2002 0:00,Non-SBIR/STTR,2001,79000, ,NCI, , ,79000
THERAPEUTIC MODULATION OF ANGIOGENESIS IN HUMAN GLIOMAS,6377905,4/1/2000 0:00,3/31/2005 0:00,Non-SBIR/STTR,2001,338220, ,NCI, , ,338220
MULTIDICIPLINARY FUNCTIONAL IMAGING OF CANCER,6377906,7/1/2000 0:00,6/30/2003 0:00,Other,2001,400000, ,NCI, , ,400000
MODULATING BASE EXCISION REPAIR IN TUMOR DRUG RESISTANCE,6377910,4/1/2000 0:00,3/31/2004 0:00,Non-SBIR/STTR,2001,275400, ,NCI, , ,275400
IN VIVO IMAGING OF NEOPLASIA,6377927,4/12/2000 0:00,3/31/2002 0:00,Other,2001,400000, ,NCI, , ,400000
TRANSLATIONAL CORRELATES OF AN EPOTHILONE B ANALOG,6377952,4/1/2000 0:00,3/31/2002 0:00,Non-SBIR/STTR,2001,83750, ,NCI, , ,83750
CHARACTERIZATION OF NEW HUMAN P53 DISSOCIATORS,6378026,7/1/2000 0:00,6/30/2005 0:00,Non-SBIR/STTR,2001,277200, ,NCI, , ,277200
ROLES AND REGULATION OF P53,6378031,9/30/2000 0:00,7/31/2005 0:00,Non-SBIR/STTR,2001,1539307, ,NCI, , ,1539307
CHARACTERIZATION OF A NEW GENE IN P53 MUTANT LFS FAMILY,6378045,8/4/2000 0:00,7/31/2003 0:00,Other Research-Related,2001,119557, ,NCI, , ,119557
ARF MDM2 P53 TUMOR SUPPRESSION PATHWAY,6378048,8/1/2000 0:00,3/31/2006 0:00,Other Research-Related,2002,141681, ,NCI, , ,141681
 MECHANISM OF ACTION OF HERCEPTIN R IN BREAST CANCER,6378060,5/1/2000 0:00,4/30/2003 0:00,Non-SBIR/STTR,2001,149500, ,NCI, , ,149500
MOLECULAR  MARKERS IN ESOPHAGEAL ADENOCARCINOMA,6378064,7/18/2000 0:00,6/30/2003 0:00,Non-SBIR/STTR,2001,187500, ,NCI, , ,187500
MUTATIONAL ANALYSIS OF P53 RELATED GENES,6378070,8/1/2000 0:00,7/31/2003 0:00,Non-SBIR/STTR,2001,127500, ,NCI, , ,127500
NEO ANTIGEN AND IMMUNOBIOLOGY OF MEDULLARY BREAST CANCER,6378071,7/14/2000 0:00,6/30/2002 0:00,Non-SBIR/STTR,2001,130500, ,NCI, , ,130500
GENETIC ANALYSIS OF TUMOR SUPPRESSOR GENE FUNCTION,6378095,9/1/2000 0:00,8/31/2005 0:00,Other Research-Related,2001,132840, ,NCI, , ,132840
STRESS INDUCED BYSTANDER EFFECT IN CANCER TREATMENT,6378130,6/9/2000 0:00,4/30/2002 0:00,Non-SBIR/STTR,2001,294368, ,NCI, , ,294368
MEASUREMENT OF CTL RESPONSES TO HUMAN PAPILLOMA VIRUS,6378173,8/4/2000 0:00,7/31/2005 0:00,Other Research-Related,2001,126711, ,NCI, , ,126711
GENETIC EPIDEMIOLOGY OF ORAL PREMALIGNANCIES AND CANCER,6379682,5/1/1999 0:00,4/30/2004 0:00,Other Research-Related,2001,124686, ,NIDCR, , ,124686
DEVELOPMENT OF VACCINES FOR ORAL CARCINOMA,6379811,9/1/1997 0:00,8/31/2002 0:00,Non-SBIR/STTR,2001,824210, ,NIDCR, , ,824210
CELL CYCLE REGULATORS OF ORAL CANCER,6379824,4/1/1998 0:00,3/31/2003 0:00,Non-SBIR/STTR,2001,964514, ,NIDCR, , ,964514
GENETIC EPIDEMIOLOGY AND MECHANISMS IN ORAL CANCER,6379911,9/24/1999 0:00,8/31/2004 0:00,Non-SBIR/STTR,2001,353094, ,NIDCR, , ,353094
HPV ETIOLOGY OF A SUBSET OF HEAD AND NECK CANCERS,6379913,4/1/2000 0:00,3/31/2005 0:00,Non-SBIR/STTR,2001,312933, ,NIDCR, , ,312933
A NOVEL IMPROVEMENT ON RADIOTHERAPY FOR SCCHN,6379918,9/1/1999 0:00,8/31/2003 0:00,Non-SBIR/STTR,2001,575738, ,NIDCR, , ,575738
GENETIC ALTERATIONS AS DIAGNOSTIC AND PROGNOSTIC BIOMARK,6379919,9/1/1999 0:00,8/31/2004 0:00,Non-SBIR/STTR,2001,362247, ,NIDCR, , ,362247
ARF AS A THERAPEUTIC AGENT IN ORAL MALIGNANCIES,6379923,4/1/2000 0:00,3/31/2004 0:00,Non-SBIR/STTR,2001,243946, ,NIDCR, , ,243946
SENESCENCE IN EPITHELIAL NEOPLASTIC PROGRESSION,6379924,9/1/2000 0:00,6/30/2004 0:00,Non-SBIR/STTR,2001,252131, ,NIDCR, , ,252131
PREDICTING RESPONSE TO THERAPY: DETECTION OF ORAL CANCER,6379951,9/30/1999 0:00,8/31/2004 0:00,Non-SBIR/STTR,2001,376661, ,NIDCR, , ,376661
THE ROLE OF P40 IN SQUAMOUS CELL CARCINOMA,6379976,9/1/2000 0:00,6/30/2004 0:00,Non-SBIR/STTR,2001,277951, ,NIDCR, , ,277951
NEOADJUVANT THERAPY OF OR CANCER BY INHIBITING NF-KAPPAB,6380002,9/30/1999 0:00,8/31/2004 0:00,Non-SBIR/STTR,2001,251074, ,NIDCR, , ,251074
GI HORMONES AND OTHER FACTORS IN GROWTH OF GI MUCOSA,6380377,12/1/1977 0:00,3/31/2005 0:00,Non-SBIR/STTR,2001,392090, ,NIDDK, , ,392090
TR2 AND TR3 ORPHAN RECEPTORS IN PROSTATE CANCER,6380836,9/1/1995 0:00,8/31/2003 0:00,Non-SBIR/STTR,2001,281242, ,NIDDK, , ,281242
DIFFERENTIAL TRANSCRIPTION FACTOR ACTIVATION BY H PYLORI,6381097,9/30/1997 0:00,9/29/2002 0:00,Non-SBIR/STTR,2001,261050, ,NIDDK, , ,261050
"KS1, A NOVEL SUPPRESSOR OF NEOPLASTIC TRANSFORMATION",6381661,9/15/2000 0:00,7/31/2004 0:00,Non-SBIR/STTR,2001,182019, ,NIDDK, , ,182019
MOLECULAR MECHANISMS OF IRON CHELATOR CYTOTOXICITY,6381823,6/1/2000 0:00,4/30/2004 0:00,Non-SBIR/STTR,2001,253021, ,NIDDK, , ,253021
TRIMODAL GENE THERAPY FOR PROSTATE CANCER,6381832,7/1/2000 0:00,5/31/2004 0:00,Non-SBIR/STTR,2001,136996, ,NIDDK, , ,136996
SUSCEPTIBILITY TO MOLECULAR ALTERATION: EPITHELIAL CELLS,6382047,9/26/1999 0:00,8/31/2004 0:00,Other Research-Related,2001,118065, ,NIEHS, , ,118065
NUCLEAR RECEPTOR COACTIVATORS AND BREAST CANCER,6382049,6/15/2000 0:00,5/31/2005 0:00,Other Research-Related,2001,116775, ,NIEHS, , ,116775
PROTECTIVE ROLE OF APOPTOSIS IN ASBESTOS PLEURAL INJURY,6382227,8/29/1997 0:00,7/31/2003 0:00,Non-SBIR/STTR,2001,206540, ,NIEHS, , ,206540
HEPTOCYTE PROLIFERATION AND AFLATOXIN METABOLISM,6382259,4/1/2000 0:00,3/31/2005 0:00,Non-SBIR/STTR,2001,196655, ,NIEHS, , ,196655
"ATM, P53, GADD45 AND P21 EFFECTS ON RECOMBINATION",6382260,6/1/1999 0:00,5/31/2004 0:00,Non-SBIR/STTR,2001,261356, ,NIEHS, , ,261356
NOVEL CARCINOGEN INDUCED CELL CYCLE CHECKPOINT,6382264,8/1/1998 0:00,7/31/2002 0:00,Non-SBIR/STTR,2001,110514, ,NIEHS, , ,110514
ASBESTOS AND NO2 IN ENVIRONMENTAL LUNG DISEASE,6382271,8/15/1998 0:00,7/31/2002 0:00,Non-SBIR/STTR,2001,286368, ,NIEHS, , ,286368
MECHANISMS OF ACROLEIN ON PROLIFERATION AND APOPTOSIS,6382288,8/1/1999 0:00,7/31/2003 0:00,Non-SBIR/STTR,2001,204560, ,NIEHS, , ,204560
Structural Determinants in Cell Growth Control by p21,6383011,7/1/2001 0:00,6/30/2006 0:00,Non-SBIR/STTR,2001,307707, ,NCI, , ,307707
Molecular Mechanisms of Ara-C Therapy in Man,6383164,9/15/2001 0:00,8/31/2006 0:00,Non-SBIR/STTR,2001,284759, ,NCI, , ,284759
Transcriptional Control of Gastrin,6383314,9/1/1993 0:00,7/31/2006 0:00,Non-SBIR/STTR,2001,246803, ,NIDDK, , ,246803
Cyclin G in p53 mediated pathways and breast cancer,6383532,7/1/2001 0:00,6/30/2005 0:00,Non-SBIR/STTR,2001,267750, ,NCI, , ,267750
MECHANISMS OF INTESTINAL CARCINOGENESIS OF DISINFECTION,6383829,3/1/2000 0:00,2/28/2002 0:00,Non-SBIR/STTR,2000,54143, ,NIEHS, , ,54143
Predictors of Progression in Barret's Esophagus,6383983,2/7/1995 0:00,6/30/2006 0:00,Non-SBIR/STTR,2001,1283007, ,NCI, , ,1283007
Molecular cytology of human telomeres-telomere protein,6384075,5/1/1993 0:00,6/30/2005 0:00,Non-SBIR/STTR,2001,371363, ,NIGMS, , ,371363
RECOMBINATION MECHANISMS IN ADENOVIRUS TRANSFECTION,6385468,5/1/1982 0:00,6/30/2004 0:00,Non-SBIR/STTR,2001,338410, ,NIGMS, , ,338410
BIOCHEMICAL STUDIES OF HUMAN DNA POLYMERASE DELTA,6385484,4/1/1983 0:00,3/31/2003 0:00,Non-SBIR/STTR,2001,525133, ,NIGMS, , ,525133
MECHANISMS OF RADIORESISTANCE AND CELL CYCLE PROGRESSION,6386141,5/1/1995 0:00,6/30/2003 0:00,Non-SBIR/STTR,2001,350262, ,NIGMS, , ,350262
CELL CYCLE CONTROL OF PROTEOLYSIS BY F-BOX PROTEINS,6386578,8/1/1999 0:00,7/31/2004 0:00,Non-SBIR/STTR,2001,330669, ,NIGMS, , ,330669
MOLECULAR ANALYSIS OF CEP135 IN THE CENTROSOME,6386688,7/1/1998 0:00,6/30/2003 0:00,Non-SBIR/STTR,2001,212383, ,NIGMS, , ,212383
RADIATION INDUCED G1 CHECKPOINT ARREST IN YEAST,6387056,9/1/1999 0:00,8/31/2004 0:00,Non-SBIR/STTR,2001,200632, ,NIGMS, , ,200632
DETERMINANTS OF HEPATITIS C & E MORBIDITY IN EGYPT,6387766,9/15/2000 0:00,8/31/2005 0:00,Non-SBIR/STTR,2001,409519, ,NICHD, , ,409519
GELSOLIN: ROLES IN APOPTOSIS AND TUMOR DEVELOPMENT,6389466,5/1/1995 0:00,3/31/2004 0:00,Non-SBIR/STTR,2001,301399, ,NHLBI, , ,301399
ISOLATION OF THE FANCONI ANEMIA NUCLEAR PROTEIN COMPLEX,6390558,9/10/2000 0:00,8/31/2004 0:00,Non-SBIR/STTR,2001,361888, ,NHLBI, , ,361888
Mentored Patient-Oriented Research Career Development Aw,6394878,8/1/2000 0:00,7/31/2005 0:00,Other Research-Related,2001,118391, ,NCRR, , ,118391
Lymphomagenesis as a Response to Antigenic Stimulation,6395262,8/6/2001 0:00,6/30/2006 0:00,Other Research-Related,2001,131058, ,NCI, , ,131058
"MUTUAL REGULATION OF P53, MDM2 AND NFKB:",6397734,4/1/2000 0:00,3/31/2005 0:00,Non-SBIR/STTR,2001,203499, ,NCI, , ,203499
"MyD118, CR6 and GADD45 in Genotoxic Stress",6398986,7/1/2001 0:00,6/30/2004 0:00,Non-SBIR/STTR,2001,249830, ,NCI, , ,249830
Mechanisms in Wilms Tumorigenesis,6399208,8/23/2001 0:00,6/30/2004 0:00,Non-SBIR/STTR,2001,276390, ,NCI, , ,276390
Mrad9 Radioresistance Gene,6399553,7/1/2001 0:00,6/30/2005 0:00,Non-SBIR/STTR,2001,305079, ,NCI, , ,305079
Progression/Oncogene Induced Prostate Cancer,6399798,9/8/1989 0:00,5/31/2006 0:00,Non-SBIR/STTR,2001,312115, ,NCI, , ,312115
Strategies to Enhance Adenoviral Mediated Tumor Killing,6400032,7/1/2001 0:00,6/30/2005 0:00,Non-SBIR/STTR,2001,275809, ,NCI, , ,275809
Epidemiology of HPV and p53 Mutations in NM Skin Cancer,6400553,8/1/2001 0:00,7/31/2006 0:00,Non-SBIR/STTR,2001,516119, ,NCI, , ,516119
Determinants of Breast Cancer Survival,6400962,6/1/2002 0:00,5/31/2007 0:00,Non-SBIR/STTR,2002,681469, ,NCI, , ,681469
Rapid in Vivo Assay for Oral Cancer Chemoprevention,6401093,7/1/2001 0:00,6/30/2003 0:00,Non-SBIR/STTR,2001,69717, ,NCI, , ,69717
Novel Technology for the Analysis of Gene Expression,6401292,8/1/1999 0:00,6/30/2004 0:00,SBIR/STTR,2001,598064, ,NCI, , ,598064
Role of CDK4 in Cell Cycle Progression and Cancer,6401416,9/1/2002 0:00,6/30/2007 0:00,Non-SBIR/STTR,2002,376250, ,NIA, , ,376250
"SENSITIVE, MULTIPLEXED ANALYSIS OF BREAST CANCER MARKERS",6401824,8/28/2000 0:00,2/28/2003 0:00,SBIR/STTR,2001,399795, ,NCI, , ,399795
ESOPHAGO GASTRIC TUMORIGENESIS IN A TRANSGENIC MODEL,6402513,5/1/2000 0:00,4/30/2005 0:00,Other Research-Related,2001,136147, ,NCI, , ,136147
EBV BZLF1 GENE PRODUCT,6402930,1/1/1993 0:00,1/31/2002 0:00,Non-SBIR/STTR,2000,37031, ,NIGMS, , ,37031
BRCAL AND P21 IN CELL CYCLING,6403174,1/7/1998 0:00,11/30/2002 0:00,Non-SBIR/STTR,2001,226627, ,NCI, , ,226627
Chk2--Roles in Checkpoint and Breast Tumor Suppression,6405218,1/1/2002 0:00, ,"Training, Individual",2001,34832, ,NCI, , ,34832
DNA Damage Checkpoints,6405276,8/10/1998 0:00,6/30/2006 0:00,Non-SBIR/STTR,2001,272813, ,NCI, , ,272813
"TELOMERE DYSFUNCTION, GENOMIC INSTABILITY AND CANCER",6405356,4/20/2000 0:00,11/30/2005 0:00,Other Research-Related,2000,132759, ,NCI, , ,132759
MOLECULAR CHARACTERIZATION OF ACF (ABERRANT CRYPT FOCI),6405357,8/1/1999 0:00,5/31/2003 0:00,Non-SBIR/STTR,2001,215309, ,NCI, , ,215309
TRANSGENIC MOUSE MODELS OF HEAD AND NECK CANCER,6405539,9/15/2001 0:00,8/31/2003 0:00,Non-SBIR/STTR,2001,40625, ,NIDCR, , ,40625
"Role of Na,K ATPase in the development of carcinoma",6406130,9/12/2001 0:00, ,"Training, Individual",2001,23550, ,NCI, , ,23550
RODENT PRODUCTION CENTER,6406991,9/28/1999 0:00,9/29/2007 0:00,R and D Contracts,2000,833803, ,NIEHS, , ,833803
BIOCHEM DISSECTION OF P53-DEPENDENT APOPTOSIS PATHWAY,6408588,9/1/1999 0:00,8/31/2004 0:00,Other Research-Related,2000,136332, ,NCI, , ,136332
CANCER THERAPY,6410168,1/1/2001 0:00,12/31/2001 0:00,Non-SBIR/STTR,2001, ,228401, , , , 
BIOCHEMICAL STUDIES OF HUMAN DNA POLYMERASE DELTA,6412451,4/1/1983 0:00,3/31/2003 0:00,Non-SBIR/STTR,2001,17998, ,NIGMS, , ,17998
MOLECULAR MECHANISMS OF SQUAMOUS DIFFERENTIATION,6413322, , ,Intramural Research,2000, , , , , , 
ANTIPROLIFERATIVE EFFECTS OF SMALL MOLECULES,6413843, , ,Intramural Research,2000, , , , , , 
REGULATION OF MUTANT P53,6413944, , ,Intramural Research,2000, , , , , , 
PHASE I TRIAL INTRAPERITONEAL ADENOVIRAL P53 GENE THERAPY--OVARIAN CANCER,6414473,12/1/2000 0:00,11/30/2001 0:00,Research Centers,2001, ,321374, , , , 
VACCINATION AGAINST TUMOR SPECIFIC MUTANT RAS AND P53 PEPTIDES IN CANCER,6414549,12/1/2000 0:00,11/30/2001 0:00,Research Centers,2001, ,321374, , , , 
Repair of Genotoxic Damage in Chromatin,6415146,1/1/2002 0:00,12/31/2006 0:00,Non-SBIR/STTR,2002,317118, ,NCI, , ,317118
EVALUATION OF PREDICTORS FOR RECURRENT ADENOMAS,6415172,2/14/1997 0:00,1/31/2003 0:00,Non-SBIR/STTR,2000,189854, ,NCI, , ,189854
GENE THERAPY OF PRIMARY & METASTATIC MALIGNANT LIVER TUMORS USING SCH58500,6415317,12/1/2000 0:00,11/30/2001 0:00,Research Centers,2001, ,293069, , , , 
BENIGN BREAST DISEASE--MOLECULAR DIFFERENTIATION OF RISK,6415610,9/30/1996 0:00,9/29/2002 0:00,Non-SBIR/STTR,2001,17046, ,NCI, , ,17046
Convergent functions of p53 and BRCA1 in gene regulation,6416245,2/1/2001 0:00,1/31/2002 0:00,Non-SBIR/STTR,2001, ,237979, , , , 
PW1--A mediator of cell survival by NFKB and cell death by p53,6416246,2/1/2001 0:00,1/31/2002 0:00,Non-SBIR/STTR,2001, ,237979, , , , 
RADIATION INDUCED G1 CHECKPOINT ARREST IN YEAST,6416770,9/1/1999 0:00,8/31/2004 0:00,Non-SBIR/STTR,2001,28992, ,NIGMS, , ,28992
TARGETING PCD FOR LEUKEMIA TREATMENT,6416848,2/5/2001 0:00,1/31/2002 0:00,Non-SBIR/STTR,2001, ,115227, , , , 
TARGETING PCD IN BLADDER CANCER,6416849,2/5/2001 0:00,1/31/2002 0:00,Non-SBIR/STTR,2001, ,115227, , , , 
Mechanisms of the Hormonal Prevention of Breast Cancer,6417264,8/1/1995 0:00,4/30/2007 0:00,Non-SBIR/STTR,2002,1042720, ,NCI, , ,1042720
Mouse Models of Gastric Cancer,6417554,5/1/2001 0:00,4/30/2006 0:00,Non-SBIR/STTR,2001,285171, ,NCI, , ,285171
BIOCHEMICAL EFFECTORS OF GENE MUTATED IN COLON CANCER,6418170,7/1/1997 0:00,12/31/2005 0:00,Non-SBIR/STTR,2001, ,130479, , , , 
CORE--EXPERIMENTAL ANIMAL FACILITY,6418174,7/1/1997 0:00,12/31/2005 0:00,Non-SBIR/STTR,2001, ,130479, , , , 
Regulation and Function of ECK in Apoptosis,6418332,1/18/2002 0:00,12/31/2005 0:00,Non-SBIR/STTR,2002,280914, ,NCI, , ,280914
dUTPase As A Prognostic Marker in Colon Cancer,6418699,4/1/2002 0:00,3/31/2004 0:00,Non-SBIR/STTR,2002,153063, ,NCI, , ,153063
SENESCENCE IN EPITHELIAL NEOPLASTIC PROGRESSION,6418763,9/1/2000 0:00,6/30/2004 0:00,Non-SBIR/STTR,2001,21250, ,NIDCR, , ,21250
The BRCA1-GADD45 Pathway and Genomic Stability,6419778,3/1/2002 0:00,2/28/2006 0:00,Non-SBIR/STTR,2002,248932, ,NCI, , ,248932
REGULATION AND FUNCTION OF P53 TUMOR SUPPRESSOR PROTEIN,6419888, , ,Intramural Research,2000, , , , , , 
Characterization of the p53 Apoptotic Target Gene PERP,6419923,1/1/2002 0:00,12/31/2006 0:00,Non-SBIR/STTR,2002,279683, ,NCI, , ,279683
Study of a FACTp140-SSRP1-associated p53 Kinase,6420078,1/10/2002 0:00,12/31/2006 0:00,Non-SBIR/STTR,2002,283995, ,NCI, , ,283995
GENETIC RISK TO AFLATOXIN INDUCED HEPATOCELLULAR CANCER,6420281, , ,Intramural Research,2000, , , , , , 
Effects of DNA Damaging Agents on G2 Phase Checkpoint,6420344,7/11/2002 0:00,6/30/2006 0:00,Non-SBIR/STTR,2002,249375, ,NCI, , ,249375
Inflammatory Breast Cancer,6421073, , ,Intramural Research,2000, , , , , , 
Molecular Basis of Young Onset Colorectal Cancer,6421362,8/26/2002 0:00,4/30/2007 0:00,Other Research-Related,2002,125226, ,NCI, , ,125226
Mechanisms of Cancer Chemoprevention by Diet,6422408,9/28/2001 0:00,7/31/2002 0:00,Other,2001,169855, ,NCI, , ,169855
Role of the p53 homolog p73 in cancer,6422548,1/14/2002 0:00,12/31/2006 0:00,Non-SBIR/STTR,2002,301376, ,NCI, , ,301376
